"|,""|__name"",""|__url"",""|__Precio__name"""
",""Vinagre de vino blanco Ybarra botella 1 l"",""https://www.dia.es/aceites-salsas-y-especias/vinagres-y-alinos/p/188810"",""1,05 €"""
","""","""",""(1,05 €/LITRO)"""
",""Crema de vinagre de módena con frambuesa Aliña tu Dia botella 250 ml"",""https://www.dia.es/aceites-salsas-y-especias/vinagres-y-alinos/p/183217"",""2,35 €"""
","""","""",""(9,40 €/LITRO)"""
",""Vinagre balsámico de módena Borges botella 250 ml"",""https://www.dia.es/aceites-salsas-y-especias/vinagres-y-alinos/p/68383"",""2,19 €"""
","""","""",""(8,76 €/LITRO)"""
"Sal_y_especies,""Bicarbonato sódico Carmencita bolsa 1 Kg"",""https://www.dia.es/aceites-salsas-y-especias/sal-y-especias/p/287246"",""3,92 €"""
","""","""",""(3,92 €/KILO)"""
",""Ajo en polvo Vegecampo frasco 85 g"",""https://www.dia.es/aceites-salsas-y-especias/sal-y-especias/p/299121"",""0,85 €"""
","""","""",""(10,00 €/KILO)"""
",""Sal marina yodada Dia bolsa 1 Kg"",""https://www.dia.es/aceites-salsas-y-especias/sal-y-especias/p/19518"",""0,35 €"""
","""","""",""(0,35 €/KILO)"""
",""Sal marina de mesa fina Dia bolsa 1 Kg"",""https://www.dia.es/aceites-salsas-y-especias/sal-y-especias/p/419"",""0,35 €"""
","""","""",""(0,35 €/KILO)"""
",""Orégano Vegecampo frasco 15 g"",""https://www.dia.es/aceites-salsas-y-especias/sal-y-especias/p/1293"",""0,65 €"""
","""","""",""(43,33 €/KILO)"""
",""Orégano en hoja Dani frasco 60 g"",""https://www.dia.es/aceites-salsas-y-especias/sal-y-especias/p/166683"",""2,49 €"""
","""","""",""(41,50 €/KILO)"""
",""Hojas de laurel Dani bolsa 10 g"",""https://www.dia.es/aceites-salsas-y-especias/sal-y-especias/p/38750"",""0,89 €"""
","""","""",""(89,00 €/KILO)"""
",""Perejil Vegecampo frasco 13 g"",""https://www.dia.es/aceites-salsas-y-especias/sal-y-especias/p/299136"",""0,69 €"""
","""","""",""(53,08 €/KILO)"""
",""Cebolla en polvo Vegecampo frasco 60 g"",""https://www.dia.es/aceites-salsas-y-especias/sal-y-especias/p/299128"",""0,95 €"""
","""","""",""(15,83 €/KILO)"""
",""Ajo molido Dani frasco 55 g"",""https://www.dia.es/aceites-salsas-y-especias/sal-y-especias/p/107989"",""1,63 €"""
","""","""",""(29,64 €/KILO)"""
"Agua,""Agua mineral natural Dia garrafa 5 l"",""https://www.dia.es/agua-refrescos-y-zumos/agua/p/26996"",""0,65 €"""
","""","""",""(0,13 €/LITRO)"""
",""Agua mineral natural Dia botella 1.5 l"",""https://www.dia.es/agua-refrescos-y-zumos/agua/p/26995"",""0,25 €"""
","""","""",""(0,17 €/LITRO)"""
",""Agua mineral con gas Dia botella 1.5 l"",""https://www.dia.es/agua-refrescos-y-zumos/agua/p/99265"",""0,41 €"""
","""","""",""(0,27 €/LITRO)"""
",""Agua mineral natural Aquarel botella 1.5 l"",""https://www.dia.es/agua-refrescos-y-zumos/agua/p/38301"",""0,59 €"""
","""","""",""(0,39 €/LITRO)"""
",""Agua mineral natural Font Vella botella 1.5 l"",""https://www.dia.es/agua-refrescos-y-zumos/agua/p/85"",""0,73 €"""
","""","""",""(0,49 €/LITRO)"""
",""Agua mineral natural Solán de Cabras botella 1.5 l"",""https://www.dia.es/agua-refrescos-y-zumos/agua/p/56684"",""0,89 €"""
","""","""",""(0,59 €/LITRO)"""
",""Agua mineral natural Bezoya botella 6 x 1.5 l"",""https://www.dia.es/agua-refrescos-y-zumos/agua/p/44302P6"",""4,44 €"""
","""","""",""(0,49 €/LITRO)"""
",""Agua mineral natural Dia botella 50 cl"",""https://www.dia.es/agua-refrescos-y-zumos/agua/p/37776"",""0,22 €"""
","""","""",""(0,44 €/LITRO)"""
",""Agua mineral natural Dia botella 33 cl"",""https://www.dia.es/agua-refrescos-y-zumos/agua/p/50567"",""0,24 €"""
","""","""",""(0,73 €/LITRO)"""
",""Agua mineral con gas Dia botella 50 cl"",""https://www.dia.es/agua-refrescos-y-zumos/agua/p/24874"",""0,27 €"""
","""","""",""(0,54 €/LITRO)"""
"Cocacola,""Refresco de cola zero Coca-Cola lata 12 x 33 cl"",""https://www.dia.es/agua-refrescos-y-zumos/cola/p/79802"",""10,44 €"""
","""","""",""(2,64 €/LITRO)"""
",""Refresco de cola clásica Coca-Cola lata 12 x 33 cl"",""https://www.dia.es/agua-refrescos-y-zumos/cola/p/30319"",""10,44 €"""
","""","""",""6% dto."""
","""","""",""9,72 €"""
","""","""",""(2,45 €/LITRO)"""
",""Refresco de cola zero Coca-Cola botella 2 x 2 l"",""https://www.dia.es/agua-refrescos-y-zumos/cola/p/82492"",""3,90 €"""
","""","""",""5% dto."""
","""","""",""3,70 €"""
","""","""",""(0,93 €/LITRO)"""
",""Refresco de cola clásica Coca-Cola botella 2 x 2 l"",""https://www.dia.es/agua-refrescos-y-zumos/cola/p/38406"",""3,90 €"""
","""","""",""5% dto."""
","""","""",""3,70 €"""
","""","""",""(0,93 €/LITRO)"""
",""Refresco de cola zero Hola Cola botella 6 x 50 cl"",""https://www.dia.es/agua-refrescos-y-zumos/cola/p/203768P6"",""3,30 €"""
","""","""",""(1,10 €/LITRO)"""
",""Refresco de cola zero Hola Cola botella 2 l"",""https://www.dia.es/agua-refrescos-y-zumos/cola/p/130617"",""0,70 €"""
","""","""",""(0,35 €/LITRO)"""
",""Refresco de cola zero Hola Cola lata 12 x 33 cl"",""https://www.dia.es/agua-refrescos-y-zumos/cola/p/107157P12"",""3,84 €"""
","""","""",""(0,97 €/LITRO)"""
",""Refresco de cola zero sin cafeína Hola Cola lata 6 x 33 cl"",""https://www.dia.es/agua-refrescos-y-zumos/cola/p/222479P6"",""1,92 €"""
","""","""",""(0,97 €/LITRO)"""
",""Refresco de cola Hola Cola botella 4 x 2 l"",""https://www.dia.es/agua-refrescos-y-zumos/cola/p/10065P4"",""3,20 €"""
","""","""",""(0,40 €/LITRO)"""
",""Refresco de cola zero Pepsi botella 2 x 1.75 l"",""https://www.dia.es/agua-refrescos-y-zumos/cola/p/214844"",""3,30 €"""
","""","""",""(0,94 €/LITRO)"""
"Fanta_de_naranja,""Refresco de naranja Fanta lata 9 x 33 cl"",""https://www.dia.es/agua-refrescos-y-zumos/naranja/p/150102"",""6,57 €"""
","""","""",""(2,21 €/LITRO)"""
",""Refresco de naranja Fanta botella 2 x 2 l"",""https://www.dia.es/agua-refrescos-y-zumos/naranja/p/66536"",""3,50 €"""
","""","""",""(0,88 €/LITRO)"""
",""Refresco de naranja zero Upss botella 2 l"",""https://www.dia.es/agua-refrescos-y-zumos/naranja/p/127634"",""0,95 €"""
","""","""",""(0,48 €/LITRO)"""
",""Refresco de naranja zero Fanta botella 2 l"",""https://www.dia.es/agua-refrescos-y-zumos/naranja/p/103130"",""1,79 €"""
","""","""",""(0,90 €/LITRO)"""
",""Refresco de naranja zero Fanta lata 33 cl"",""https://www.dia.es/agua-refrescos-y-zumos/naranja/p/13179"",""0,75 €"""
","""","""",""(2,27 €/LITRO)"""
",""Refresco de naranja Upss botella 2 l"",""https://www.dia.es/agua-refrescos-y-zumos/naranja/p/35484"",""0,95 €"""
","""","""",""(0,48 €/LITRO)"""
",""Refresco de naranja Upss lata 33 cl"",""https://www.dia.es/agua-refrescos-y-zumos/naranja/p/43867"",""0,35 €"""
","""","""",""(1,06 €/LITRO)"""
",""Refresco de naranja Fanta lata 33 cl"",""https://www.dia.es/agua-refrescos-y-zumos/naranja/p/687"",""0,75 €"""
","""","""",""(2,27 €/LITRO)"""
",""Refresco de naranja sin gas Upss botella 1.5 l"",""https://www.dia.es/agua-refrescos-y-zumos/otras-bebidas/p/35488"",""1,05 €"""
","""","""",""(0,70 €/LITRO)"""
",""Refresco de naranja Fanta botella 2 l"",""https://www.dia.es/agua-refrescos-y-zumos/naranja/p/685"",""1,79 €"""
","""","""",""(0,90 €/LITRO)"""
"Fanta_de_limon,""Refresco de limón Fanta botella 2 l"",""https://www.dia.es/agua-refrescos-y-zumos/limon-lima-limon/p/684"",""1,79 €"""
","""","""",""(0,90 €/LITRO)"""
",""Refresco de limón zero Fanta botella 2 l"",""https://www.dia.es/agua-refrescos-y-zumos/limon-lima-limon/p/103131"",""1,79 €"""
","""","""",""(0,90 €/LITRO)"""
",""Refresco de limón zero Upss botella 2 l"",""https://www.dia.es/agua-refrescos-y-zumos/limon-lima-limon/p/127633"",""0,95 €"""
","""","""",""(0,48 €/LITRO)"""
",""Refresco de limón 6% zumo con gas Upss botella 2 l"",""https://www.dia.es/agua-refrescos-y-zumos/limon-lima-limon/p/82954"",""0,95 €"""
","""","""",""(0,48 €/LITRO)"""
",""Refresco de lima limón Upss botella 2 l"",""https://www.dia.es/agua-refrescos-y-zumos/limon-lima-limon/p/44314"",""0,95 €"""
","""","""",""(0,48 €/LITRO)"""
",""Refresco de limón Upss lata 33 cl"",""https://www.dia.es/agua-refrescos-y-zumos/limon-lima-limon/p/43869"",""0,35 €"""
","""","""",""(1,06 €/LITRO)"""
",""Refresco de limón zero Fanta lata 33 cl"",""https://www.dia.es/agua-refrescos-y-zumos/limon-lima-limon/p/13185"",""0,75 €"""
","""","""",""(2,27 €/LITRO)"""
",""Refresco de limón sin gas Upss botella 1.5 l"",""https://www.dia.es/agua-refrescos-y-zumos/otras-bebidas/p/35487"",""1,05 €"""
","""","""",""(0,70 €/LITRO)"""
",""Refresco de limón Fanta lata 33 cl"",""https://www.dia.es/agua-refrescos-y-zumos/limon-lima-limon/p/686"",""0,75 €"""
","""","""",""(2,27 €/LITRO)"""
",""Refresco de lima limón zero Seven up lata 33 cl"",""https://www.dia.es/agua-refrescos-y-zumos/limon-lima-limon/p/1172"",""0,59 €"""
","""","""",""(1,79 €/LITRO)"""
"Arroz,""Arroz extra Arrozona bolsa 1 Kg"",""https://www.dia.es/arroz-pastas-y-legumbres/arroz/p/151"",""1,30 €"""
","""","""",""(1,30 €/KILO)"""
",""Arroz largo de primera categoría Arrozona bolsa 1 Kg"",""https://www.dia.es/arroz-pastas-y-legumbres/arroz/p/5873"",""1,30 €"""
","""","""",""(1,30 €/KILO)"""
",""Arroz basmati Selección Mundial paquete 1 Kg"",""https://www.dia.es/arroz-pastas-y-legumbres/arroz/p/53397"",""2,54 €"""
","""","""",""(2,54 €/KILO)"""
",""Arroz bomba Arrozona paquete 1 Kg"",""https://www.dia.es/arroz-pastas-y-legumbres/arroz/p/15883"",""4,90 €"""
","""","""",""(4,90 €/KILO)"""
",""Arroz redondo SOS paquete 1 Kg"",""https://www.dia.es/arroz-pastas-y-legumbres/arroz/p/21415"",""1,80 €"""
","""","""",""(1,80 €/KILO)"""
",""Arroz redondo Al Punto vaso 2 x 125 g"",""https://www.dia.es/arroz-pastas-y-legumbres/arroz/p/250021"",""1,19 €"""
","""","""",""(4,76 €/KILO)"""
",""Arroz basmati Brillante vaso 2 x 125 g"",""https://www.dia.es/arroz-pastas-y-legumbres/arroz/p/60069"",""1,39 €"""
","""","""",""(5,56 €/KILO)"""
",""Arroz vaporizado Arrozona bolsa 1 Kg"",""https://www.dia.es/arroz-pastas-y-legumbres/arroz/p/28809"",""1,54 €"""
","""","""",""(1,54 €/KILO)"""
",""Arroz redondo Brillante paquete 1 Kg"",""https://www.dia.es/arroz-pastas-y-legumbres/arroz/p/142599"",""2,68 €"""
","""","""",""(2,68 €/KILO)"""
",""Arroz integral Brillante vaso 2 x 125 g"",""https://www.dia.es/arroz-pastas-y-legumbres/arroz/p/145913"",""1,29 €"""
","""","""",""(5,16 €/KILO)"""
"Pasta_y_fideos,""Macarrón Al Diante bolsa 1 Kg"",""https://www.dia.es/arroz-pastas-y-legumbres/pastas/p/50973"",""1,30 €"""
","""","""",""(1,30 €/KILO)"""
",""Espagueti Al Diante bolsa 1 Kg"",""https://www.dia.es/arroz-pastas-y-legumbres/pastas/p/52208"",""1,30 €"""
","""","""",""(1,30 €/KILO)"""
",""Espirales tricolor Al Diante bolsa 500 g"",""https://www.dia.es/arroz-pastas-y-legumbres/pastas/p/33117"",""0,95 €"""
","""","""",""(1,90 €/KILO)"""
",""Fideo cabellín Al Diante bolsa 500 g"",""https://www.dia.es/arroz-pastas-y-legumbres/pastas/p/515"",""0,82 €"""
","""","""",""(1,64 €/KILO)"""
",""Espaguetis nº 3 Gallo bolsa 450 g"",""https://www.dia.es/arroz-pastas-y-legumbres/pastas/p/69539"",""1,33 €"""
","""","""",""(2,96 €/KILO)"""
",""Pluma nº 6 Gallo bolsa 450 g"",""https://www.dia.es/arroz-pastas-y-legumbres/pastas/p/69536"",""1,33 €"""
","""","""",""(2,96 €/KILO)"""
",""Espagueti nº 5 Barilla caja 500 g"",""https://www.dia.es/arroz-pastas-y-legumbres/pastas/p/16567"",""1,79 €"""
","""","""",""(3,58 €/KILO)"""
",""Pasta de tiburones Al Diante bolsa 500 g"",""https://www.dia.es/arroz-pastas-y-legumbres/pastas/p/1127"",""0,82 €"""
","""","""",""(1,64 €/KILO)"""
",""Tallarines Al Diante bolsa 500 g"",""https://www.dia.es/arroz-pastas-y-legumbres/pastas/p/74729"",""0,82 €"""
","""","""",""(1,64 €/KILO)"""
",""Macarrón Al Diante bolsa 500 g"",""https://www.dia.es/arroz-pastas-y-legumbres/pastas/p/518"",""0,82 €"""
","""","""",""(1,64 €/KILO)"""
"Garbanzos,""Garbanzos extra Vegecampo bolsa 1 Kg"",""https://www.dia.es/arroz-pastas-y-legumbres/garbanzos/p/155"",""2,69 €"""
","""","""",""(2,69 €/KILO)"""
",""Garbanzo pedrosillano Vegecampo bolsa 1 Kg"",""https://www.dia.es/arroz-pastas-y-legumbres/garbanzos/p/194830"",""1,95 €"""
","""","""",""(1,95 €/KILO)"""
",""Garbanzos cocidos extra Vegecampo frasco 400 g"",""https://www.dia.es/arroz-pastas-y-legumbres/garbanzos/p/1232"",""0,85 €"""
","""","""",""(2,13 €/KILO)"""
",""Garbanzos cocidos extra Vegecampo frasco 210 g"",""https://www.dia.es/arroz-pastas-y-legumbres/garbanzos/p/284017"",""0,70 €"""
","""","""",""(3,33 €/KILO)"""
",""Garbanzo cocido pedrosillano Vegecampo frasco 400 g"",""https://www.dia.es/arroz-pastas-y-legumbres/garbanzos/p/268896"",""1,05 €"""
","""","""",""(2,63 €/KILO)"""
",""Hummus clásico Al Punto tarrina 220 g"",""https://www.dia.es/arroz-pastas-y-legumbres/garbanzos/p/278849"",""1,29 €"""
","""","""",""(5,86 €/KILO)"""
",""Garbanzos cocidos bajo contenido en sal Vegecampo frasco 400 g"",""https://www.dia.es/arroz-pastas-y-legumbres/garbanzos/p/222740"",""0,99 €"""
","""","""",""(2,48 €/KILO)"""
",""Garbanzos cocidos Luengo frasco 400 g"",""https://www.dia.es/arroz-pastas-y-legumbres/garbanzos/p/101720"",""1,30 €"""
","""","""",""20% dto."""
","""","""",""1,04 €"""
","""","""",""(2,60 €/KILO)"""
",""Garbanzos Luengo bolsa 1 Kg"",""https://www.dia.es/arroz-pastas-y-legumbres/garbanzos/p/73816"",""3,79 €"""
","""","""",""(3,79 €/KILO)"""
",""Garbanzos con verduras cocidas Luengo frasco 400 g"",""https://www.dia.es/arroz-pastas-y-legumbres/garbanzos/p/189831"",""1,45 €"""
","""","""",""(3,63 €/KILO)"""
"Alubias,""Alubias blancas Vegecampo bolsa 1 Kg"",""https://www.dia.es/arroz-pastas-y-legumbres/alubias/p/154"",""2,09 €"""
","""","""",""(2,09 €/KILO)"""
",""Alubias pintas Vegecampo bolsa 1 Kg"",""https://www.dia.es/arroz-pastas-y-legumbres/alubias/p/156"",""2,29 €"""
","""","""",""(2,29 €/KILO)"""
",""Alubia negra Vegecampo bolsa 500 g"",""https://www.dia.es/arroz-pastas-y-legumbres/alubias/p/61318"",""1,20 €"""
","""","""",""(2,40 €/KILO)"""
",""Alubias blancas bajo contenido en sal Vegecampo frasco 400 g"",""https://www.dia.es/arroz-pastas-y-legumbres/alubias/p/283986"",""0,95 €"""
","""","""",""(2,38 €/KILO)"""
",""Alubias rojas cocidas Vegecampo frasco 400 g"",""https://www.dia.es/arroz-pastas-y-legumbres/alubias/p/210523"",""1,05 €"""
","""","""",""(2,63 €/KILO)"""
",""Alubias pintas cocidas Vegecampo frasco 400 g"",""https://www.dia.es/arroz-pastas-y-legumbres/alubias/p/254987"",""1,10 €"""
","""","""",""(2,75 €/KILO)"""
",""Alubias blancas con verduras Vegecampo frasco 400 g"",""https://www.dia.es/arroz-pastas-y-legumbres/alubias/p/50647"",""1,15 €"""
","""","""",""(2,88 €/KILO)"""
",""Alubias blancas extra Vegecampo frasco 210 g"",""https://www.dia.es/arroz-pastas-y-legumbres/alubias/p/283985"",""0,70 €"""
","""","""",""(3,33 €/KILO)"""
",""Alubia cocida Luengo frasco 400 g"",""https://www.dia.es/arroz-pastas-y-legumbres/alubias/p/119810"",""1,25 €"""
","""","""",""(3,13 €/KILO)"""
",""Alubias blancas Luengo bolsa 1 Kg"",""https://www.dia.es/arroz-pastas-y-legumbres/alubias/p/102510"",""3,75 €"""
","""","""",""(3,75 €/KILO)"""
"Lentejas,""Lentejas cocidas Vegecampo frasco 400 g"",""https://www.dia.es/arroz-pastas-y-legumbres/lentejas/p/58809"",""0,90 €"""
","""","""",""(2,25 €/KILO)"""
",""Lenteja castellana Vegecampo bolsa 1 Kg"",""https://www.dia.es/arroz-pastas-y-legumbres/lentejas/p/157"",""1,88 €"""
","""","""",""(1,88 €/KILO)"""
",""Lenteja roja Vegecampo bolsa 1 Kg"",""https://www.dia.es/arroz-pastas-y-legumbres/lentejas/p/291145"",""1,89 €"""
","""","""",""(1,89 €/KILO)"""
",""Lenteja pardina Luengo bolsa 500 g"",""https://www.dia.es/arroz-pastas-y-legumbres/lentejas/p/1878"",""1,95 €"""
","""","""",""(3,90 €/KILO)"""
",""Lenteja pardina Luengo bolsa 1 Kg"",""https://www.dia.es/arroz-pastas-y-legumbres/lentejas/p/189343"",""3,79 €"""
","""","""",""(3,79 €/KILO)"""
",""Lentejas cocidas Vegecampo frasco 210 g"",""https://www.dia.es/arroz-pastas-y-legumbres/lentejas/p/290920"",""0,75 €"""
","""","""",""(3,57 €/KILO)"""
",""Lenteja pardina Legumbres La Asturiana bolsa 500 g"",""https://www.dia.es/arroz-pastas-y-legumbres/lentejas/p/50740"",""2,45 €"""
","""","""",""(4,90 €/KILO)"""
",""Lenteja pardina cocida Luengo frasco 400 g"",""https://www.dia.es/arroz-pastas-y-legumbres/lentejas/p/282306"",""1,45 €"""
","""","""",""(3,63 €/KILO)"""
",""Lenteja roja pelada Luengo bolsa 400 g"",""https://www.dia.es/arroz-pastas-y-legumbres/lentejas/p/300816"",""2,39 €"""
","""","""",""(5,98 €/KILO)"""
",""Lenteja pardina Legumbres La Asturiana bolsa 1 Kg"",""https://www.dia.es/arroz-pastas-y-legumbres/lentejas/p/38252"",""4,80 €"""
","""","""",""(4,80 €/KILO)"""
"Azucar,""Azúcar blanco Dia paquete 1 Kg"",""https://www.dia.es/azucar-chocolates-y-caramelos/azucar-y-edulcorantes/p/81798"",""1,45 €"""
","""","""",""(1,45 €/KILO)"""
",""Azúcar blanco Azucarera paquete 1 Kg"",""https://www.dia.es/azucar-chocolates-y-caramelos/azucar-y-edulcorantes/p/178"",""1,49 €"""
","""","""",""(1,49 €/KILO)"""
",""Edulcorante líquido Dia botella 200 ml"",""https://www.dia.es/azucar-chocolates-y-caramelos/azucar-y-edulcorantes/p/198631"",""1,35 €"""
","""","""",""(6,75 €/LITRO)"""
",""Edulcorante Dia bote 50 g"",""https://www.dia.es/azucar-chocolates-y-caramelos/azucar-y-edulcorantes/p/108416"",""1,29 €"""
","""","""",""(25,80 €/KILO)"""
",""Edulcorante en polvo Dia bote 200 g"",""https://www.dia.es/azucar-chocolates-y-caramelos/azucar-y-edulcorantes/p/222283"",""3,29 €"""
","""","""",""(16,45 €/KILO)"""
",""Azúcar moreno de caña integral Azucarera brik 800 g"",""https://www.dia.es/azucar-chocolates-y-caramelos/azucar-y-edulcorantes/p/42570"",""1,85 €"""
","""","""",""(2,31 €/KILO)"""
",""Azúcar moreno de caña integral Sidul bolsa 1 Kg"",""https://www.dia.es/azucar-chocolates-y-caramelos/azucar-y-edulcorantes/p/298968"",""1,95 €"""
","""","""",""(1,95 €/KILO)"""
",""Panela azúcar moreno de caña integral Azucarera bolsa 500 g"",""https://www.dia.es/azucar-chocolates-y-caramelos/azucar-y-edulcorantes/p/256649"",""1,99 €"""
","""","""",""(3,98 €/KILO)"""
",""Azúcar blanco en sobres Dia caja 300 g"",""https://www.dia.es/azucar-chocolates-y-caramelos/azucar-y-edulcorantes/p/265464"",""1,15 €"""
","""","""",""(3,83 €/KILO)"""
",""Edulcorante Dia frasco 150 unidades"",""https://www.dia.es/azucar-chocolates-y-caramelos/azucar-y-edulcorantes/p/210776"",""1,79 €"""
","""","""",""(0,01 €/UNIDAD)"""
"Cereales,""Muesli extra Gran Dia caja 500 g"",""https://www.dia.es/galletas-bollos-y-cereales/cereales/p/222746"",""1,95 €"""
","""","""",""(3,90 €/KILO)"""
",""Copos de avena Gran Dia caja 500 g"",""https://www.dia.es/galletas-bollos-y-cereales/cereales/p/105429"",""1,00 €"""
","""","""",""(2,00 €/KILO)"""
",""Muesli crujiente con chocolate Gran Dia caja 500 g"",""https://www.dia.es/galletas-bollos-y-cereales/cereales/p/135900"",""2,10 €"""
","""","""",""(4,20 €/KILO)"""
",""Cereales rellenos de leche Gran Dia caja 500 g"",""https://www.dia.es/galletas-bollos-y-cereales/cereales/p/111278"",""2,60 €"""
","""","""",""(5,20 €/KILO)"""
",""Cereales rellenos con chocolate y avena Gran Dia caja 500 g"",""https://www.dia.es/galletas-bollos-y-cereales/cereales/p/37184"",""2,15 €"""
","""","""",""(4,30 €/KILO)"""
",""Cereales copos de maíz corn flakes Gran Dia caja 500 g"",""https://www.dia.es/galletas-bollos-y-cereales/cereales/p/66956"",""1,45 €"""
","""","""",""(2,90 €/KILO)"""
",""Cereales de pétalos de trigo y chocolate Gran Dia caja 500 g"",""https://www.dia.es/galletas-bollos-y-cereales/cereales/p/74306"",""1,80 €"""
","""","""",""(3,60 €/KILO)"""
",""Cereales copos de maíz corn flakes Kellogg's Corn Flakes caja 500 g"",""https://www.dia.es/galletas-bollos-y-cereales/cereales/p/19372"",""2,99 €"""
","""","""",""(5,98 €/KILO)"""
",""Cereales de arroz inflado Kellogg's Choco Krispies caja 420 g"",""https://www.dia.es/galletas-bollos-y-cereales/cereales/p/130840"",""3,55 €"""
","""","""",""(8,45 €/KILO)"""
",""Cereales copos de trigo, arroz y cebada con chocolate negro Gran Dia caja 300 g"",""https://www.dia.es/galletas-bollos-y-cereales/cereales/p/67929"",""1,95 €"""
","""","""",""(6,50 €/KILO)"""
"Galletas,""Galletas rellenas de crema de chocolate Galleteca paquete 500 g"",""https://www.dia.es/galletas-bollos-y-cereales/galletas/p/32812"",""1,20 €"""
","""","""",""(2,40 €/KILO)"""
",""Galletas dorada maría Galleteca paquete 800 g"",""https://www.dia.es/galletas-bollos-y-cereales/galletas/p/149293"",""1,60 €"""
","""","""",""(2,00 €/KILO)"""
",""Galletas relieve Galleteca caja 735 g"",""https://www.dia.es/galletas-bollos-y-cereales/galletas/p/12008"",""1,69 €"""
","""","""",""(2,30 €/KILO)"""
",""Galletas maría Galleteca paquete 800 g"",""https://www.dia.es/galletas-bollos-y-cereales/galletas/p/469"",""1,60 €"""
","""","""",""(2,00 €/KILO)"""
",""Galletas de desayuno Cuétara Tostarica caja 570 g"",""https://www.dia.es/galletas-bollos-y-cereales/galletas/p/148067"",""2,99 €"""
","""","""",""(5,25 €/KILO)"""
",""Galletas de cereales con vitaminas Artiach Dinosaurus caja 411 g"",""https://www.dia.es/galletas-bollos-y-cereales/galletas/p/37967"",""3,49 €"""
","""","""",""(8,49 €/KILO)"""
",""Galleta rellena de crema de chocolate Principe paquete 3 x 300 g"",""https://www.dia.es/galletas-bollos-y-cereales/galletas/p/189842"",""5,39 €"""
","""","""",""(5,99 €/KILO)"""
",""Galletas tostaditas Galleteca caja 600 g"",""https://www.dia.es/galletas-bollos-y-cereales/galletas/p/206129"",""1,79 €"""
","""","""",""(2,98 €/KILO)"""
